Ndata Day VCN1 VCN2 VCN3 VCN4 VCN5 VCN6
1 501 4010     
2 515 19300 28100    
3 520 1110 5990 744   
1 522 26900     
1 529 4590     
1 536 26300     
3 543 25200 13500 62500   
2 549 32600 10900    
3 599 8810 6720 74200   
4 606 142000 92300 272000 298000  
3 613 53600 45200 17500   
3 620 9960 15100 5460   
2 627 0 10200    
3 634 6990 18900 5180   
3 641 584 15900 10200   
3 648 18000 57500 10300   
3 655 162000 62300 79000   
3 663 308000 249000 494000   
3 668 578000 422000 135000   
3 676 253000 786000 317000   
3 694 13900 6310 3210   
2 704 105 9240    
3 710 534 845 7500   
3 718 50.2 408 0   
3 733 0 130 8570   
3 739 417 0 456   
3 746 9630 103 1280   
3 753 214 2730 4430   
3 760 11800 3210 18300   
3 771 2100 19200 7640   
3 788 19000 12100 10100   
3 802 2120 12300 14600   
3 809 5650 2210 1190   
2 816 876 8740    
3 823 457 4560 2030   
3 830 402 38.6 1410   
3 837 3190 611 214   
3 844 6660 7760 10500   
3 851 6460 7520 8920   
3 858 4380 362 36000   
3 865 644 28200 228000   
3 872 1410 25100 142000   
3 878 5330 18000 80600   
3 887 23200 388000 108000   
3 893 82500 264000 569000   
3 904 9900 1010000 357000   
3 905 5950 1120000 29400   
3 906 5500 909000 48100   
3 907 88000 449000 54600   
3 908 3290 30000 63900   
3 909 4340 2660 34200   
3 910 3950 15400 73300   
3 911 746 30700 17700   
3 912 12400 10900 7250   
3 913 792 190000 44500   
3 914 2970 245000 24000   
3 915 6860 30400 42500   
3 916 1790 141000 13500   
3 917 1100 1510 161000   
3 918 2070 51100 28800   
3 919 1010 37200 77000   
3 920 22400 7030 296000   
3 921 62100 72400 183000   
3 929 12100 178000 72800   
3 935 18500 332000 264000   
3 942 12700 114000 86800   
3 949 64400 371000 208000   
3 956 11600 92100 227000   
3 963 29100 450000 855000   
3 970 64800 315000 511000   
3 976 56500 494000 264000   
3 984 339000 508000 316000   
3 991 954000 822000 5e+05   
3 998 402000 160000 219000   
3 1011 108000 1040000 537000   
3 1012 109000 74400 88000   
2 1013 28600 95400    
3 1014 45500 21000 15200   
3 1018 14000 2160 28700   
3 1026 4460 42300 6320   
3 1032 2690 10200 18200   
3 1040 4910 11200 22700   
3 1045 15600 3370 47800   
3 1052 2520 25000 10200   
3 1058 24800 43800 20100   
3 1065 15300 178000 40800   
3 1076 127000 458000 830000   
3 1083 518000 1610000 2400000   
3 1094 258000 1940000 643000   
3 1115 183000 2260000 2500000   
3 1122 388000 660000 243000   
3 1130 16200 110000 21400   
2 1136 2110 19000    
3 1142 4370 280 38500   
3 1149 139 0 27.2   
3 1156 17400 2140 485   
3 1160 26000 9820 120000   
3 1170 23400 16000 161000   
3 1177 126000 74500 148000   
3 1180 185000 91000 288000   
3 1191 131000 210000 915000   
3 1198 563000 720000 830000   
3 1206 229000 660000 728000   
3 1240 72300 134000 164000   
3 1247 171000 86500 460000   
3 1256 53300 99800 241000   
3 1261 158000 318000 375000   
3 1270 161000 52600 329000   
3 1276 296000 107000 558000   
3 1282 625000 211000 448000   
3 1289 675000 630000 2060000   
3 1296 1050000 505000 2530000   
3 1304 1290000 690000 2850000   
3 1312 1650000 2490000 1410000   
3 1318 353000 345000 318000   
3 1325 293000 258000 353000   
3 1331 117000 313000 172000   
3 1338 360000 134000 232000   
3 1341 707000 398000 777000   
3 1342 239000 609000 493000   
3 1343 372000 258000 286000   
3 1344 379000 215000 227000   
3 1346 480000 334000 183000   
3 1354 182000 440000 70300   
3 1355 181000 78000 76300   
3 1362 166000 82300 242000   
3 1363 189000 141000 182000   
3 1364 66000 127000 368000   
3 1366 133000 106000 138000   
3 1373 94800 73000 47500   
3 1381 44800 75500 82000   
3 1388 175000 137000 37500   
3 1395 26800 45000 56300   
3 1401 55500 23900 85000   
3 1409 26300 21700 10200   
3 1416 49800 21900 39500   
3 1422 305000 145000 125000   
3 1430 248000 338000 125000   
3 1437 573000 833000 990000   
3 1443 245000 528000 1190000   
3 1466 45300 155000 111000   
3 1472 65000 130000 58500   
3 1480 50000 55500 130000   
3 1487 179000 123000 39300   
3 1494 140000 154000 195000   
3 1499 3e+05 181000 163000   
3 1506 425000 530000 858000   
3 1515 535000 743000 918000   
3 1522 2780000 2550000 563000   
3 1529 1580000 1260000 1560000   
3 1536 1160000 390000 350000   
4 1557 70300 0 119000 249  
3 1563 28300 113 651   
3 1570 2910 2550 2340   
3 1577 9430 1160 3150   
3 1587 19900 694 4960   
3 1598 3350 217 2920   
3 1605 3320 2090 549   
3 1612 13700 5350 33300   
3 1619 34500 28000 15200   
3 1626 44800 10400 48500   
3 1633 76000 57500 19400   
3 1639 119000 95800 142000   
