Ndata Day VCN1 VCN2 VCN3 VCN4 VCN5 VCN6
6 592 420 53 0 269 893 702
2 599 0 275    
3 606 0 288 0   
3 613 345 0 0   
3 620 0 0 0   
3 627 55 0 143   
3 634 0 0 82.9   
2 641 0 144    
3 648 463 830 0   
3 660 0 207 72.9   
3 669 1980 593 0   
3 676 3290 933 0   
3 683 1800 549 0   
3 689 0 229 301   
2 694 0 83.8    
3 704 137 376 0   
3 710 0 0 0   
3 718 0 0 0   
3 733 0 266 0   
3 739 0 0 0   
3 746 0 0 0   
3 753 0 0 0   
3 760 89.9 0 0   
3 788 0 0 0   
2 795 0 0    
3 802 394 0 0   
3 809 0 0 0   
3 816 0 2540 0   
3 823 0 0 0   
2 830 0 0    
3 837 0 0 0   
3 844 0 0 0   
3 851 0 0 0   
3 858 0 0 0   
3 865 56.7 0 0   
3 899 659 5200 0   
3 908 0 251 0   
3 916 105 273 0   
3 921 0 0 0   
3 929 0 0 0   
3 935 0 0 0   
3 942 0 0 0   
3 949 0 248 317   
3 956 0 0 0   
3 963 0 0 0   
3 970 0 0 0   
3 976 0 107 0   
3 998 1750 1290 0   
2 1005 3010 116    
3 1012 0 917 60.2   
3 1018 0 45.8 0   
3 1026 0 0 0   
3 1032 0 0 0   
3 1040 0 0 0   
3 1045 0 0 0   
3 1052 49.9 0 0   
3 1058 0 0 0   
3 1065 0 0 0   
3 1100 798 0 0   
3 1107 150 0 0   
3 1115 216 0 0   
2 1122 0 171    
3 1130 0 0 0   
3 1136 0 0 0   
3 1142 0 0 0   
3 1149 0 0 0   
3 1156 0 35.2 0   
3 1160 0 0 0   
3 1170 163 0 0   
3 1177 64.4 0 0   
3 1180 0 220 0   
3 1219 0 0 0   
3 1226 34.9 0 0   
3 1233 0 0 0   
3 1240 0 0 0   
3 1247 0 0 0   
3 1256 0 0 0   
3 1261 0 0 82.7   
3 1270 0 0 0   
3 1276 0 0 0   
3 1282 0 0 0   
3 1289 0 359 0   
3 1331 0 154 0   
3 1342 0 0 0   
3 1346 112 0 0   
3 1354 0 0 0   
3 1360 0 200 0   
3 1368 0 0 0   
3 1373 0 0 0   
3 1381 0 0 0   
3 1388 0 0 0   
3 1395 0 514 0   
3 1401 0 0 0   
3 1443 0 0 0   
3 1452 31.4 61.5 90.7   
3 1466 0 0 0   
3 1472 0 0 0   
3 1480 0 0 0   
3 1487 0 0 0   
3 1529 0 0 0   
3 1536 0 0 0   
3 1543 0 0 0   
3 1550 0 0 0   
3 1557 0 0 0   
3 1563 0 0 0   
3 1570 0 0 0   
3 1577 0 154.717 0   
3 1626 0 0 0   
3 1633 0 0 0   
3 1639 0 0 0   
